class,feature,importance
talk.politics.mideast,emb_dim_64,0.7375510597590759
talk.politics.mideast,emb_dim_70,0.7030123485519908
talk.politics.misc,emb_dim_55,0.8537319636371028
talk.politics.misc,emb_dim_30,0.8179742673556729
talk.politics.misc,emb_dim_43,0.7293489327513893
talk.politics.misc,emb_dim_20,0.6944869624943949
talk.politics.misc,emb_dim_62,0.6514923236863823
talk.politics.misc,emb_dim_47,0.5789068424070758
talk.politics.misc,emb_dim_82,0.5473269099153013
talk.politics.misc,emb_dim_90,0.5089097162895587
talk.politics.misc,emb_dim_68,0.49024017097023265
talk.politics.misc,emb_dim_39,0.45565777347389413
talk.religion.misc,emb_dim_5,1.3873915982242413
talk.religion.misc,emb_dim_52,0.907307217637092
talk.religion.misc,emb_dim_41,0.9008025832779306
talk.religion.misc,emb_dim_12,0.7171761138911648
talk.religion.misc,emb_dim_0,0.6739897064492819
talk.religion.misc,emb_dim_25,0.6611192591446446
talk.religion.misc,emb_dim_13,0.5965140304320662
talk.religion.misc,emb_dim_81,0.5912844972162797
talk.religion.misc,emb_dim_42,0.5897659740584125
talk.religion.misc,emb_dim_60,0.5859781939622506
